         N     length    maximum     second
       223         71       9232        670 odd
       224         22        224        112 even
       225         53       4372        676 odd
       226         14        340        113 even
       227         14       1024        682 odd
       228         35        228        114 even
       229         35        688        688 odd
       230         35        520        115 even
       231        128       9232        694 odd
       232         22        232        116 even
       233         84       9232        700 odd
       234         22        352        117 even
       235        128       9232        706 odd
       236         35        304        118 even
       237         35        712        712 odd
       238         35        808        119 even
       239         53       9232        718 odd
       240         22        240        120 even
       241         22        724        724 odd
       242         97       9232        121 even
       243         97       9232        730 odd
       244         22        244        122 even
       245         22        736        736 odd
       246         48        628        123 even
       247         48       1672        742 odd
       248        110       9232        124 even
       249         48        952        748 odd
       250        110       9232        125 even
       251         66       9232        754 odd
       252        110       9232        126 even
       253        110       9232        760 odd
       254         48       4372        127 even
       255         48      13120        766 odd
       256          9        256        128 power of two
       257        123       9232        772 odd
       258        123       9232        129 even
       259        123       9232        778 odd
       260         30        260        130 even
       261         30        784        784 odd
       262         30        592        131 even
       263         79       9232        790 odd
       264         30        264        132 even
       265        123       9232        796 odd
       266         30        400        133 even
       267         22       1204        802 odd
       268         30        304        134 even
       269         30        808        808 odd
       270         43        916        135 even
       271         43       2752        814 odd
       272         17        272        136 even
       273         30        820        820 odd
       274         92       9232        137 even
       275         92       9232        826 odd
       276         17        276        138 even
       277         17        832        832 odd
       278         43        628        139 even
       279         43       1888        838 odd
       280         17        280        140 even
       281         43        952        844 odd
       282         17        424        141 even
       283         61       9232        850 odd
       284        105       9232        142 even
       285        105       9232        856 odd
       286        105       9232        143 even
       287         43       4372        862 odd
       288         25        288        144 even
       289         30        868        868 odd
       290        118       9232        145 even
       291        118       9232        874 odd
       292        118       9232        146 even
       293        118       9232        880 odd
       294        118       9232        147 even
       295         56       2248        886 odd
       296         25        296        148 even
       297         74       9232        892 odd
       298         25        448        149 even
       299        118       9232        898 odd
       300         17        340        150 even
       301         17        904        904 odd
       302         17       1024        151 even
       303         43       3076        910 odd
       304         25        304        152 even
       305         38        916        916 odd
       306         38        520        153 even
       307         38       1384        922 odd
       308         25        308        154 even
       309         25        928        928 odd
       310         87       9232        155 even
       311         87       9232        934 odd
       312         38        312        156 even
       313        131       9232        940 odd
       314         38        472        157 even
       315         38       1600        946 odd
       316         38        808        158 even
       317         38        952        952 odd
       318         56       9232        159 even
       319         56       9232        958 odd
       320         12        320        160 even
       321         25        964        964 odd
       322        100       9232        161 even
       323        100       9232        970 odd
       324         25        324        162 even
       325         25        976        976 odd
       326         25        736        163 even
       327        144       9232        982 odd
       328        113       9232        164 even
       329         51       1672        988 odd
       330        113       9232        165 even
       331         25       1492        994 odd
       332        113       9232        166 even
       333        113       9232       1000 odd
       334         69       9232        167 even
       335         69       9232       1006 odd
       336         12        336        168 even
       337        113       9232       1012 odd
       338         51       4372        169 even
       339         51       4372       1018 odd
       340         12        340        170 even
       341         12       1024       1024 odd
       342        126       9232        171 even
       343        126       9232       1030 odd
       344         33        344        172 even
       345        126       9232       1036 odd
       346         33        520        173 even
       347        126       9232       1042 odd
       348         33        592        174 even
       349         33       1048       1048 odd
       350         82       9232        175 even
       351         82       9232       1054 odd
       352         20        352        176 even
       353        126       9232       1060 odd
       354         33        532        177 even
       355         33       1600       1066 odd
       356         33        356        178 even
       357         33       1072       1072 odd
       358         33        808        179 even
       359         51       9232       1078 odd
       360         20        360        180 even
       361         46       2752       1084 odd
       362         20        544        181 even
       363         46       1636       1090 odd
       364         95       9232        182 even
       365         95       9232       1096 odd
       366         95       9232        183 even
       367         46       4192       1102 odd
       368         20        368        184 even
       369         20       1108       1108 odd
       370         46        628        185 even
       371         46       1672       1114 odd
       372         20        372        186 even
       373         20       1120       1120 odd
       374         46        952        187 even
       375         46       2536       1126 odd
       376        108       9232        188 even
       377         64       9232       1132 odd
       378        108       9232        189 even
       379         59       2752       1138 odd
       380        108       9232        190 even
       381        108       9232       1144 odd
       382         46       4372        191 even
       383         46      13120       1150 odd
       384         15        384        192 even
       385         33       1156       1156 odd
       386        121       9232        193 even
       387        121       9232       1162 odd
       388        121       9232        194 even
       389        121       9232       1168 odd
       390        121       9232        195 even
       391        121       9232       1174 odd
       392         28        392        196 even
       393         59       2248       1180 odd
       394         28        592        197 even
       395         77       9232       1186 odd
       396         28        448        198 even
       397         28       1192       1192 odd
       398        121       9232        199 even
       399        121       9232       1198 odd
       400         28        400        200 even
       401         20       1204       1204 odd
       402         20       1024        201 even
       403         20       1816       1210 odd
       404         28        404        202 even
       405         28       1216       1216 odd
       406         41        916        203 even
       407         41       2752       1222 odd
       408         28        408        204 even
       409         41       1384       1228 odd
       410         28        616        205 even
       411        134       9232       1234 odd
       412         90       9232        206 even
       413         90       9232       1240 odd
       414         90       9232        207 even
       415        134       9232       1246 odd
       416         15        416        208 even
       417        134       9232       1252 odd
       418         41        628        209 even
       419         41       1888       1258 odd
       420         41        808        210 even
       421         41       1264       1264 odd
       422         41        952        211 even
       423         33       3220       1270 odd
       424         15        424        212 even
       425         59       9232       1276 odd
       426         15        640        213 even
       427         54       2752       1282 odd
       428        103       9232        214 even
       429        103       9232       1288 odd
       430        103       9232        215 even
       431         41       4372       1294 odd
       432        116       9232        216 even
       433         28       1300       1300 odd
       434         28        736        217 even
       435         28       1960       1306 odd
       436        116       9232        218 even
       437        116       9232       1312 odd
       438         54       1672        219 even
       439         54       2968       1318 odd
       440        116       9232        220 even
       441         28       1492       1324 odd
       442        116       9232        221 even
       443         54       2248       1330 odd
       444         72       9232        222 even
       445         72       9232       1336 odd
       446         72       9232        223 even
       447         98      39364       1342 odd
       448         23        448        224 even
       449        116       9232       1348 odd
       450         54       4372        225 even
       451         54       4372       1354 odd
       452         15        452        226 even
       453         15       1360       1360 odd
       454         15       1024        227 even
       455         41       3076       1366 odd
       456         36        456        228 even
       457        129       9232       1372 odd
       458         36        688        229 even
       459        129       9232       1378 odd
       460         36        520        230 even
       461         36       1384       1384 odd
       462        129       9232        231 even
       463        129       9232       1390 odd
       464         23        464        232 even
       465         36       1396       1396 odd
       466         85       9232        233 even
       467         85       9232       1402 odd
       468         23        468        234 even
       469         23       1408       1408 odd
       470        129       9232        235 even
       471        129       9232       1414 odd
       472         36        472        236 even
       473         36       1600       1420 odd
       474         36        712        237 even
       475         28       3616       1426 odd
       476         36        808        238 even
       477         36       1432       1432 odd
       478         54       9232        239 even
       479         54       9232       1438 odd
       480         23        480        240 even
       481         49       2752       1444 odd
       482         23        724        241 even
       483         23       2176       1450 odd
       484         98       9232        242 even
       485         98       9232       1456 odd
       486         98       9232        243 even
       487        142       9232       1462 odd
       488         23        488        244 even
       489         49       4192       1468 odd
       490         23        736        245 even
       491        142       9232       1474 odd
       492         49        628        246 even
       493         49       1480       1480 odd
       494         49       1672        247 even
       495         98      14308       1486 odd
       496        111       9232        248 even
       497         23       1492       1492 odd
       498         49        952        249 even
       499         49       2248       1498 odd
       500        111       9232        250 even
       501        111       9232       1504 odd
       502         67       9232        251 even
       503         67       9232       1510 odd
       504        111       9232        252 even
       505         62       2752       1516 odd
       506        111       9232        253 even
       507         36       2896       1522 odd
       508         49       4372        254 even
       509         49       4372       1528 odd
       510         49      13120        255 even
       511         62      39364       1534 odd
       512         10        512        256 power of two
       513         36       1540       1540 odd
       514        124       9232        257 even
       515        124       9232       1546 odd
       516        124       9232        258 even
       517        124       9232       1552 odd
       518        124       9232        259 even
       519         62       3508       1558 odd
       520         31        520        260 even
       521        124       9232       1564 odd
       522         31        784        261 even
       523        124       9232       1570 odd
       524         31        592        262 even
       525         31       1576       1576 odd
       526         80       9232        263 even
       527         80       9232       1582 odd
       528         31        528        264 even
       529         31       1588       1588 odd
       530        124       9232        265 even
       531        124       9232       1594 odd
       532         31        532        266 even
       533         31       1600       1600 odd
       534         23       1204        267 even
       535         23       3616       1606 odd
       536         31        536        268 even
       537         23       1816       1612 odd
       538         31        808        269 even
       539         49       9232       1618 odd
       540         44        916        270 even
       541         44       1624       1624 odd
       542         44       2752        271 even
       543        137       9232       1630 odd
       544         18        544        272 even
       545         44       1636       1636 odd
       546         31        820        273 even
       547         31       2464       1642 odd
       548         93       9232        274 even
       549         93       9232       1648 odd
       550         93       9232        275 even
       551         44       4192       1654 odd
       552         18        552        276 even
       553        137       9232       1660 odd
       554         18        832        277 even
       555         31       2500       1666 odd
       556         44        628        278 even
       557         44       1672       1672 odd
       558         44       1888        279 even
       559         88       8080       1678 odd
       560         18        560        280 even
       561         44       1684       1684 odd
       562         44        952        281 even
       563         44       2536       1690 odd
       564         18        564        282 even
       565         18       1696       1696 odd
       566         62       9232        283 even
       567         62       9232       1702 odd
       568        106       9232        284 even
       569         57       2752       1708 odd
       570        106       9232        285 even
       571         31       2896       1714 odd
       572        106       9232        286 even
       573        106       9232       1720 odd
       574         44       4372        287 even
       575         44      13120       1726 odd
       576         26        576        288 even
       577         31       1732       1732 odd
       578         31        868        289 even
       579         31       2608       1738 odd
       580        119       9232        290 even
       581        119       9232       1744 odd
       582        119       9232        291 even
       583         31       3940       1750 odd
       584        119       9232        292 even
       585         57       2968       1756 odd
       586        119       9232        293 even
       587        119       9232       1762 odd
       588        119       9232        294 even
       589        119       9232       1768 odd
       590         57       2248        295 even
       591         57       5992       1774 odd
       592         26        592        296 even
       593         75       9232       1780 odd
       594         75       9232        297 even
       595         75       9232       1786 odd
       596         26        596        298 even
       597         26       1792       1792 odd
       598        119       9232        299 even
       599        119       9232       1798 odd
       600         18        600        300 even
       601         57       4372       1804 odd
       602         18        904        301 even
       603         70       5812       1810 odd
       604         18       1024        302 even
       605         18       1816       1816 odd
       606         44       3076        303 even
       607         44       9232       1822 odd
       608         26        608        304 even
       609        132       9232       1828 odd
       610         39        916        305 even
       611         39       2752       1834 odd
       612         39        612        306 even
       613         39       1840       1840 odd
       614         39       1384        307 even
       615         70      10528       1846 odd
       616         26        616        308 even
       617        132       9232       1852 odd
       618         26        928        309 even
       619        132       9232       1858 odd
       620         88       9232        310 even
       621         88       9232       1864 odd
       622         88       9232        311 even
       623        132       9232       1870 odd
       624         39        624        312 even
       625         26       1876       1876 odd
       626        132       9232        313 even
       627        132       9232       1882 odd
       628         39        628        314 even
       629         39       1888       1888 odd
       630         39       1600        315 even
       631         39       4264       1894 odd
       632         39        808        316 even
       633         31       3616       1900 odd
       634         39        952        317 even
       635         31       3220       1906 odd
       636         57       9232        318 even
       637         57       9232       1912 odd
       638         57       9232        319 even
       639        132      41524       1918 odd
       640         13        640        320 even
       641         52       2752       1924 odd
       642         26        964        321 even
       643         26       2896       1930 odd
       644        101       9232        322 even
       645        101       9232       1936 odd
       646        101       9232        323 even
       647         39       4372       1942 odd
       648         26        648        324 even
       649        145       9232       1948 odd
       650         26        976        325 even
       651        101       9232       1954 odd
       652         26        736        326 even
       653         26       1960       1960 odd
       654        145       9232        327 even
       655        145       9232       1966 odd
       656        114       9232        328 even
       657         52       1972       1972 odd
       658         52       1672        329 even
       659         52       2968       1978 odd
       660        114       9232        330 even
       661        114       9232       1984 odd
       662         26       1492        331 even
       663         26       4480       1990 odd
       664        114       9232        332 even
       665         52       2248       1996 odd
       666        114       9232        333 even
       667        145      21688       2002 odd
       668         70       9232        334 even
       669         70       9232       2008 odd
       670         70       9232        335 even
       671         96      39364       2014 odd
       672         13        672        336 even
       673         65       2752       2020 odd
       674        114       9232        337 even
       675        114       9232       2026 odd
       676         52       4372        338 even
       677         52       4372       2032 odd
       678         52       4372        339 even
       679         65       5812       2038 odd
       680         13        680        340 even
       681         65      39364       2044 odd
       682         13       1024        341 even
       683         39       3076       2050 odd
       684        127       9232        342 even
       685        127       9232       2056 odd
       686        127       9232        343 even
       687         39       6964       2062 odd
       688         34        688        344 even
       689        127       9232       2068 odd
       690        127       9232        345 even
       691        127       9232       2074 odd
       692         34        692        346 even
       693         34       2080       2080 odd
       694        127       9232        347 even
       695        127       9232       2086 odd
       696         34        696        348 even
       697        127       9232       2092 odd
       698         34       1048        349 even
       699         65       3544       2098 odd
       700         83       9232        350 even
       701         83       9232       2104 odd
       702         83       9232        351 even
       703        171     250504       2110 odd
       704         21        704        352 even
       705         34       2116       2116 odd
       706        127       9232        353 even
       707        127       9232       2122 odd
       708         34        708        354 even
       709         34       2128       2128 odd
       710         34       1600        355 even
       711         65       4804       2134 odd
       712         34        712        356 even
       713         26       3616       2140 odd
       714         34       1072        357 even
       715         26       3220       2146 odd
       716         34        808        358 even
       717         34       2152       2152 odd
       718         52       9232        359 even
       719         52       9232       2158 odd
       720         21        720        360 even
       721         47       2164       2164 odd
       722         47       2752        361 even
       723         47       3256       2170 odd
       724         21        724        362 even
       725         21       2176       2176 odd
       726         47       1636        363 even
       727         47       4912       2182 odd
       728         96       9232        364 even
       729         34       2464       2188 odd
       730         96       9232        365 even
       731        140       9232       2194 odd
       732         96       9232        366 even
       733         96       9232       2200 odd
       734         47       4192        367 even
       735         47      11176       2206 odd
       736         21        736        368 even
       737        140       9232       2212 odd
       738         21       1108        369 even
       739         21       3328       2218 odd
       740         47        740        370 even
       741         47       2224       2224 odd
       742         47       1672        371 even
       743         96      14308       2230 odd
       744         21        744        372 even
       745         91       8080       2236 odd
       746         21       1120        373 even
       747         47       4264       2242 odd
       748         47        952        374 even
       749         47       2248       2248 odd
       750         47       2536        375 even
       751        140      21688       2254 odd
       752        109       9232        376 even
       753         21       2260       2260 odd
       754         65       9232        377 even
       755         65       9232       2266 odd
       756        109       9232        378 even
       757        109       9232       2272 odd
       758         60       2752        379 even
       759         60       5128       2278 odd
       760        109       9232        380 even
       761         34       2896       2284 odd
       762        109       9232        381 even
       763        153       9232       2290 odd
       764         47       4372        382 even
       765         47       4372       2296 odd
       766         47      13120        383 even
       767         60      39364       2302 odd
       768         16        768        384 even
       769         34       2308       2308 odd
       770         34       1156        385 even
       771         34       3472       2314 odd
       772        122       9232        386 even
       773        122       9232       2320 odd
       774        122       9232        387 even
       775        153       9232       2326 odd
       776        122       9232        388 even
       777         34       3940       2332 odd
       778        122       9232        389 even
       779         60       3508       2338 odd
       780        122       9232        390 even
       781        122       9232       2344 odd
       782        122       9232        391 even
       783        122       9232       2350 odd
       784         29        784        392 even
       785        122       9232       2356 odd
       786         60       2248        393 even
       787         60       3544       2362 odd
       788         29        788        394 even
       789         29       2368       2368 odd
       790         78       9232        395 even
       791         78       9232       2374 odd
       792         29        792        396 even
       793         78       9232       2380 odd
       794         29       1192        397 even
       795        104      39364       2386 odd
       796        122       9232        398 even
       797        122       9232       2392 odd
       798        122       9232        399 even
       799         73      12148       2398 odd
       800         29        800        400 even
       801         60       4372       2404 odd
       802         21       1204        401 even
       803         21       3616       2410 odd
       804         21       1024        402 even
       805         21       2416       2416 odd
       806         21       1816        403 even
       807         73      39364       2422 odd
       808         29        808        404 even
       809         47       9232       2428 odd
       810         29       1216        405 even
       811        135       9232       2434 odd
       812         42        916        406 even
       813         42       2440       2440 odd
       814         42       2752        407 even
       815        135       9232       2446 odd
       816         29        816        408 even
       817         42       2452       2452 odd
       818         42       1384        409 even
       819         42       3688       2458 odd
       820         29        820        410 even
       821         29       2464       2464 odd
       822        135       9232        411 even
       823        135       9232       2470 odd
       824         91       9232        412 even
       825        135       9232       2476 odd
       826         91       9232        413 even
       827         42       4192       2482 odd
       828         91       9232        414 even
       829         91       9232       2488 odd
       830        135       9232        415 even
       831        135      18952       2494 odd
       832         16        832        416 even
       833         29       2500       2500 odd
       834        135       9232        417 even
       835        135       9232       2506 odd
       836         42        836        418 even
       837         42       2512       2512 odd
       838         42       1888        419 even
       839         86       8080       2518 odd
       840         42        840        420 even
       841         42       4264       2524 odd
       842         42       1264        421 even
       843         42       3796       2530 odd
       844         42        952        422 even
       845         42       2536       2536 odd
       846         34       3220        423 even
       847         34       8584       2542 odd
       848         16        848        424 even
       849         60       9232       2548 odd
       850         60       9232        425 even
       851         60       9232       2554 odd
       852         16        852        426 even
       853         16       2560       2560 odd
       854         55       2752        427 even
       855         55       5776       2566 odd
       856        104       9232        428 even
       857         29       2896       2572 odd
       858        104       9232        429 even
       859        148       9232       2578 odd
       860        104       9232        430 even
       861        104       9232       2584 odd
       862         42       4372        431 even
       863         42      13120       2590 odd
       864        117       9232        432 even
       865        148       9232       2596 odd
       866         29       1300        433 even
       867         29       3904       2602 odd
       868         29        868        434 even
       869         29       2608       2608 odd
       870         29       1960        435 even
       871        179     190996       2614 odd
       872        117       9232        436 even
       873        148       9232       2620 odd
       874        117       9232        437 even
       875         29       3940       2626 odd
       876         55       1672        438 even
       877         55       2632       2632 odd
       878         55       2968        439 even
       879        148      10024       2638 odd
       880        117       9232        440 even
       881        117       9232       2644 odd
       882         29       1492        441 even
       883         29       3976       2650 odd
       884        117       9232        442 even
       885        117       9232       2656 odd
       886         55       2248        443 even
       887         55       5992       2662 odd
       888         73       9232        444 even
       889        148      21688       2668 odd
       890         73       9232        445 even
       891         47       8584       2674 odd
       892         73       9232        446 even
       893         73       9232       2680 odd
       894         99      39364        447 even
       895         99      39364       2686 odd
       896         24        896        448 even
       897         68       2752       2692 odd
       898        117       9232        449 even
       899        117       9232       2698 odd
       900         55       4372        450 even
       901         55       4372       2704 odd
       902         55       4372        451 even
       903        117       9232       2710 odd
       904         16        904        452 even
       905         68       5812       2716 odd
       906         16       1360        453 even
       907         55      13120       2722 odd
       908         16       1024        454 even
       909         16       2728       2728 odd
       910         42       3076        455 even
       911         42       9232       2734 odd
       912         37        912        456 even
       913        130       9232       2740 odd
       914        130       9232        457 even
       915        130       9232       2746 odd
       916         37        916        458 even
       917         37       2752       2752 odd
       918        130       9232        459 even
       919        130       9232       2758 odd
       920         37        920        460 even
       921        130       9232       2764 odd
       922         37       1384        461 even
       923         68      10528       2770 odd
       924        130       9232        462 even
       925        130       9232       2776 odd
       926        130       9232        463 even
       927        117      15856       2782 odd
       928         24        928        464 even
       929        130       9232       2788 odd
       930         37       1396        465 even
       931         37       4192       2794 odd
       932         86       9232        466 even
       933         86       9232       2800 odd
       934         86       9232        467 even
       935        130       9232       2806 odd
       936         24        936        468 even
       937        174     250504       2812 odd
       938         24       1408        469 even
       939         86       9232       2818 odd
       940        130       9232        470 even
       941        130       9232       2824 odd
       942        130       9232        471 even
       943         37       9556       2830 odd
       944         37        944        472 even
       945         37       2836       2836 odd
       946         37       1600        473 even
       947         37       4264       2842 odd
       948         37        948        474 even
       949         37       2848       2848 odd
       950         29       3616        475 even
       951         29       6424       2854 odd
       952         37        952        476 even
       953         29       3220       2860 odd
       954         37       1432        477 even
       955         29       4840       2866 odd
       956         55       9232        478 even
       957         55       9232       2872 odd
       958         55       9232        479 even
       959        130      41524       2878 odd
       960         24        960        480 even
       961         50       2884       2884 odd
       962         50       2752        481 even
       963         50       4336       2890 odd
       964         24        964        482 even
       965         24       2896       2896 odd
       966         24       2176        483 even
       967        143       9232       2902 odd
       968         99       9232        484 even
       969         50       4912       2908 odd
       970         99       9232        485 even
       971         37       4372       2914 odd
       972         99       9232        486 even
       973         99       9232       2920 odd
       974        143       9232        487 even
       975        143       9880       2926 odd
       976         24        976        488 even
       977         99       9232       2932 odd
       978         50       4192        489 even
       979         50       4408       2938 odd
       980         24        980        490 even
       981         24       2944       2944 odd
       982        143       9232        491 even
       983        143       9232       2950 odd
       984         50        984        492 even
       985         24       3328       2956 odd
       986         50       1480        493 even
       987         37       7504       2962 odd
       988         50       1672        494 even
       989         50       2968       2968 odd
       990         99      14308        495 even
       991         99      15064       2974 odd
       992        112       9232        496 even
       993         94       8080       2980 odd
       994         24       1492        497 even
       995         24       4480       2986 odd
       996         50        996        498 even
       997         50       2992       2992 odd
       998         50       2248        499 even
       999         50      11392       2998 odd
      1000        112       9232        500 even
      1001        143      21688       3004 odd
      1003         42       8584       3010 odd
      1004         68       9232        502 even
      1006         68       9232        503 even
      1007         94      39364       3022 odd
      1010         63       2752        505 even
      1012        112       9232        506 even
      1013        112       9232       3040 odd
      1016         50       4372        508 even
      1018         50       4372        509 even
      1019         63       5812       3058 odd
      1021         50      13120       3064 odd
      1022         63      39364        511 even
      1024         11       1024        512 power of two
      1025         37       3076       3076 odd
      1028        125       9232        514 even
      1030        125       9232        515 even
      1031         37       6964       3094 odd
      1034        125       9232        517 even
      1036        125       9232        518 even
      1037        125       9232       3112 odd
      1039         63      10528       3118 odd
      1040         32       1040        520 even
      1042        125       9232        521 even
      1043        125       9232       3130 odd
      1046        125       9232        523 even
      1048         32       1048        524 even
      1049         63       3544       3148 odd
      1052         81       9232        526 even
      1054         81       9232        527 even
      1055        169     250504       3166 odd
      1057         81       9232       3172 odd
      1058         32       1588        529 even
      1060        125       9232        530 even
      1061        125       9232       3184 odd
      1063         76       8080       3190 odd
      1064         32       1064        532 even
      1066         32       1600        533 even
      1067         63       4804       3202 odd
      1070         24       3616        535 even
      1072         32       1072        536 even
      1073         24       3220       3220 odd
      1075         24       4840       3226 odd
      1076         32       1076        538 even
      1078         50       9232        539 even
      1079         50       9232       3238 odd
      1082         45       1624        541 even
      1084         45       2752        542 even
      1085         45       3256       3256 odd
      1088         19       1088        544 even
      1090         45       1636        545 even
      1091         45       4912       3274 odd
      1093         32       3280       3280 odd
      1094         32       2464        547 even
      1096         94       9232        548 even
      1097        138       9232       3292 odd
      1100         94       9232        550 even
      1102         45       4192        551 even
      1103         45      11176       3310 odd
      1106        138       9232        553 even
      1108         19       1108        554 even
      1109         19       3328       3328 odd
      1111         32       7504       3334 odd
      1112         45       1112        556 even
      1114         45       1672        557 even
      1115         94      14308       3346 odd
      1118         89       8080        559 even
      1120         19       1120        560 even
      1121         45       4264       3364 odd
      1124         45       1124        562 even
      1126         45       2536        563 even
      1127        138      21688       3382 odd
      1129         37       8584       3388 odd
      1130         19       1696        565 even
      1132         63       9232        566 even
      1133         63       9232       3400 odd
      1136        107       9232        568 even
      1138         58       2752        569 even
      1139         58       5128       3418 odd
      1142         32       2896        571 even
      1144        107       9232        572 even
      1145        151       9232       3436 odd
      1147         58       5812       3442 odd
      1148         45       4372        574 even
      1150         45      13120        575 even
      1151         58      39364       3454 odd
      1154         32       1732        577 even
      1156         32       1156        578 even
      1157         32       3472       3472 odd
      1160        120       9232        580 even
      1162        120       9232        581 even
      1163        151       9232       3490 odd
      1166         32       3940        583 even
      1168        120       9232        584 even
      1169         58       3508       3508 odd
      1172        120       9232        586 even
      1174        120       9232        587 even
      1175        120       9232       3526 odd
      1178        120       9232        589 even
      1180         58       2248        590 even
      1181         58       3544       3544 odd
      1184         27       1184        592 even
      1186         76       9232        593 even
      1187         76       9232       3562 odd
